Evolving 30 sharks over 10000 generations (max_steps=200, lives=3, mutation_rate=0.2, seed=0)...

  Gen |  Size |  Speed | Caution |  Fitness
------+-------+--------+---------+---------
    1 | 6.704 | 10.887 |   0.684 | -24.9000
    2 | 5.995 | 10.997 |   0.882 | -13.6667
    3 | 6.547 |  4.053 |   0.484 | -13.0000
    4 | 6.751 |  7.875 |   0.416 |   3.4333
    5 | 6.755 |  4.400 |   0.490 |  -6.1667
    6 | 6.616 |  5.603 |   0.616 |   0.2000
    7 | 6.399 |  5.352 |   0.553 |  -3.1000
    8 | 6.026 |  6.269 |   0.697 |   6.1333
    9 | 6.622 |  5.892 |   0.524 | -14.5000
   10 | 6.672 |  5.436 |   0.637 |  -1.2000
   11 | 6.526 |  5.788 |   0.569 |   4.6333
   12 | 7.236 |  5.608 |   0.584 | -10.5667
   13 | 6.531 |  6.011 |   0.568 |  28.7667
   14 | 7.215 |  5.333 |   0.584 |   5.0333
   15 | 7.583 |  5.765 |   0.497 |  29.8667
   16 | 7.563 |  5.762 |   0.501 | -16.7333
   17 | 7.021 |  5.010 |   0.504 | -18.4667
   18 | 7.111 |  5.110 |   0.506 |   4.0667
   19 | 7.183 |  5.860 |   0.526 |   4.7333
   20 | 6.599 |  5.381 |   0.531 | -13.0000
   21 | 6.669 |  5.534 |   0.572 |  -1.8333
   22 | 7.271 |  5.967 |   0.574 | -17.2667
   23 | 6.839 |  5.908 |   0.514 | -10.6333
   24 | 7.209 |  5.906 |   0.614 |   6.4333
   25 | 7.220 |  6.036 |   0.586 |   7.4000
   26 | 7.198 |  6.035 |   0.537 | -22.5000
   27 | 7.223 |  6.071 |   0.579 |   0.0667
   28 | 7.409 |  6.767 |   0.599 |  17.8000
   29 | 7.006 |  6.045 |   0.558 |   8.8667
   30 | 7.347 |  6.499 |   0.598 |  14.4667
   31 | 7.388 |  6.049 |   0.615 | -12.4000
   32 | 7.265 |  5.873 |   0.734 |  26.7333
   33 | 7.306 |  6.009 |   0.699 | -16.7333
   34 | 7.866 |  6.508 |   0.720 |  -5.5000
   35 | 7.325 |  5.976 |   0.666 |  -0.6000
   36 | 7.505 |  6.153 |   0.684 |  -9.1333
   37 | 7.505 |  6.153 |   0.684 | -26.5333
   38 | 7.405 |  6.232 |   0.552 | -17.0333
   39 | 6.915 |  6.103 |   0.831 |   9.6333
   40 | 7.569 |  6.398 |   0.621 | -19.4333
   41 | 7.286 |  6.484 |   0.657 |   2.0667
   42 | 7.705 |  6.698 |   0.633 |  -5.4667
   43 | 7.170 |  6.254 |   0.692 |   9.0000
   44 | 7.053 |  6.263 |   0.729 |  18.0667
   45 | 7.249 |  5.740 |   0.657 | -27.8000
   46 | 7.209 |  5.869 |   0.655 |  -6.0333
   47 | 7.113 |  6.266 |   0.708 |  -5.1000
   48 | 7.113 |  6.705 |   0.775 |  -8.6333
   49 | 7.127 |  6.021 |   0.714 |  -4.1000
   50 | 7.244 |  6.611 |   0.736 | -13.7333
   51 | 7.167 |  6.479 |   0.693 |   6.5333
   52 | 7.467 |  5.989 |   0.680 | -14.7667
   53 | 7.506 |  6.018 |   0.670 |  -4.5667
   54 | 7.040 |  6.435 |   0.680 |  -5.1000
   55 | 7.834 |  6.021 |   0.680 |  -3.5333
   56 | 7.411 |  6.162 |   0.702 | -12.4667
   57 | 7.376 |  6.234 |   0.699 |  18.3000
   58 | 7.678 |  6.567 |   0.675 | -19.2000
   59 | 7.660 |  6.237 |   0.661 |   8.1000
   60 | 7.281 |  6.156 |   0.742 |  -3.5000
   61 | 7.338 |  6.154 |   0.730 |  -9.7000
   62 | 7.562 |  6.215 |   0.677 | -20.8333
   63 | 7.562 |  6.215 |   0.677 |   8.4333
   64 | 7.927 |  6.192 |   0.471 | -19.6667
   65 | 7.444 |  6.169 |   0.681 | -14.0667
   66 | 7.537 |  6.012 |   0.656 | -10.9667
   67 | 7.859 |  6.054 |   0.711 |  -6.8667
   68 | 7.741 |  6.537 |   0.771 |  -0.5333
   69 | 7.799 |  6.184 |   0.695 |  -5.2000
   70 | 7.846 |  5.586 |   0.710 |  15.4000
   71 | 7.770 |  6.487 |   0.787 | -23.6333
   72 | 8.062 |  6.668 |   0.772 |   7.8667
   73 | 8.020 |  5.757 |   0.800 | -11.4000
   74 | 7.821 |  6.028 |   0.709 |  -0.0667
   75 | 7.859 |  5.686 |   0.614 | -14.2000
   76 | 7.859 |  5.686 |   0.614 |   7.4333
   77 | 7.847 |  5.169 |   0.710 |   4.2000
   78 | 7.736 |  5.789 |   0.744 |   8.0333
   79 | 7.826 |  5.439 |   0.684 | -20.1667
   80 | 7.765 |  5.714 |   0.857 |   5.7333
   81 | 7.828 |  5.522 |   0.683 |  18.5000
   82 | 7.867 |  5.121 |   0.662 |  -7.8000
   83 | 7.752 |  5.438 |   0.631 | -16.9333
   84 | 7.328 |  5.369 |   0.655 |  -8.4667
   85 | 7.328 |  5.369 |   0.655 | -16.1000
   86 | 8.116 |  4.726 |   0.640 |  -5.6667
   87 | 8.213 |  5.424 |   0.693 |  -4.5667
   88 | 7.761 |  4.710 |   0.583 |  27.1000
   89 | 8.022 |  4.579 |   0.620 | -19.5000
   90 | 8.000 |  5.864 |   0.615 | -25.0000
   91 | 8.288 |  5.607 |   0.604 |  -3.0667
   92 | 7.592 |  5.172 |   0.641 |  -6.0000
   93 | 7.826 |  5.354 |   0.638 | -27.4667
   94 | 7.269 |  5.480 |   0.615 |  24.1667
   95 | 7.827 |  5.325 |   0.636 |  -4.6333
   96 | 7.551 |  5.357 |   0.584 | -22.0000
   97 | 7.769 |  5.264 |   0.609 |  15.8667
   98 | 7.510 |  5.520 |   0.627 |  -7.9000
   99 | 8.144 |  5.799 |   0.688 |   3.0667
  100 | 7.529 |  5.276 |   0.583 | -10.6333
  101 | 7.350 |  5.531 |   0.679 |   3.3000
  102 | 7.871 |  5.613 |   0.646 |  -2.8667
  103 | 8.020 |  5.734 |   0.613 |  -5.9000
  104 | 8.099 |  6.365 |   0.459 | -12.2333
  105 | 8.013 |  6.012 |   0.637 |  11.6000
  106 | 8.274 |  5.677 |   0.639 | -13.2333
  107 | 8.027 |  6.919 |   0.548 |  17.5667
  108 | 8.067 |  5.673 |   0.624 | -11.5667
  109 | 8.361 |  6.131 |   0.695 |   0.2333
  110 | 8.284 |  6.163 |   0.679 | -19.3667
  111 | 8.729 |  6.258 |   0.675 | -13.8333
  112 | 8.729 |  6.114 |   0.675 |  -1.5333
  113 | 7.952 |  5.973 |   0.534 |  -9.0000
  114 | 8.059 |  6.097 |   0.659 |  -1.2000
  115 | 8.167 |  5.877 |   0.710 |   4.7333
  116 | 8.005 |  6.356 |   0.683 |  -1.1667
  117 | 8.072 |  5.889 |   0.641 |  -6.2667
  118 | 7.817 |  5.744 |   0.610 |  -0.3333
  119 | 7.617 |  5.855 |   0.571 |  -4.6000
  120 | 7.725 |  5.874 |   0.566 | -12.3000
  121 | 7.725 |  5.874 |   0.566 |  -2.3667
  122 | 7.896 |  6.103 |   0.644 | -16.6333
  123 | 7.877 |  6.925 |   0.634 | -26.9000
  124 | 7.877 |  6.925 |   0.634 |  -3.8667
  125 | 7.957 |  6.359 |   0.634 |   6.7667
  126 | 7.806 |  6.280 |   0.601 |  -7.1333
  127 | 7.939 |  5.910 |   0.730 |  41.2333
  128 | 8.870 |  6.398 |   0.595 | -10.0000
  129 | 7.811 |  5.553 |   0.606 |  -9.4333
  130 | 7.590 |  5.777 |   0.593 |  -3.2000
  131 | 7.604 |  5.835 |   0.572 |  -7.3667
  132 | 7.563 |  6.057 |   0.574 | -34.7333
  133 | 7.720 |  5.995 |   0.582 | -33.9333
  134 | 7.822 |  6.032 |   0.589 |   1.1667
  135 | 7.624 |  5.518 |   0.599 |  15.4000
  136 | 7.960 |  5.123 |   0.600 | -21.0667
  137 | 7.380 |  5.455 |   0.598 |   6.7333
  138 | 7.380 |  5.455 |   0.598 | -18.3000
  139 | 7.943 |  5.767 |   0.537 |  32.6000
  140 | 7.772 |  5.837 |   0.580 |  -6.3000
  141 | 7.840 |  5.980 |   0.575 |   3.5333
  142 | 7.671 |  5.040 |   0.545 | -15.7000
  143 | 7.864 |  5.577 |   0.564 | -19.6000
  144 | 7.675 |  5.063 |   0.547 |  -7.3333
  145 | 7.280 |  6.056 |   0.560 | -11.1667
  146 | 7.908 |  5.695 |   0.575 |  10.9667
  147 | 7.560 |  5.977 |   0.555 |   6.0333
  148 | 7.979 |  5.662 |   0.535 | -17.9000
  149 | 7.842 |  5.505 |   0.497 | -15.9333
  150 | 7.705 |  5.751 |   0.643 | -10.8333
  151 | 7.700 |  5.203 |   0.504 |  -2.2000
  152 | 8.316 |  5.688 |   0.511 |  -0.5333
  153 | 8.129 |  6.012 |   0.548 |   7.3333
  154 | 8.073 |  5.856 |   0.533 |  21.7333
  155 | 7.329 |  4.908 |   0.528 |  -1.1333
  156 | 7.501 |  5.178 |   0.524 |   1.1667
  157 | 7.707 |  5.718 |   0.525 | -10.3333
