episode,reward,steps,epsilon
1.0,-105.69999999999999,58.0,0.995
2.0,-85.7,109.0,0.990025
3.0,-113.79999999999997,139.0,0.985074875
4.0,-105.0,51.0,0.9801495006250001
5.0,-105.2,53.0,0.9752487531218751
6.0,-105.2,53.0,0.9703725093562657
7.0,-101.2,13.0,0.9655206468094844
8.0,-103.4,35.0,0.960693043575437
9.0,-59.79999999999998,99.0,0.9558895783575597
10.0,-106.89999999999999,70.0,0.9511101304657719
11.0,-104.6,47.0,0.946354579813443
12.0,-101.9,20.0,0.9416228069143757
13.0,-102.2,23.0,0.9369146928798039
14.0,-106.89999999999999,70.0,0.9322301194154049
15.0,-107.89999999999999,80.0,0.9275689688183278
16.0,-58.399999999999984,85.0,0.9229311239742362
17.0,-63.999999999999964,141.0,0.918316468354365
18.0,-101.3,14.0,0.9137248860125932
19.0,-82.0,72.0,0.9091562615825302
20.0,-37.60000000000003,128.0,0.9046104802746175
21.0,-105.1,52.0,0.9000874278732445
22.0,-101.5,16.0,0.8955869907338783
23.0,-104.6,47.0,0.8911090557802088
24.0,-103.60000000000001,37.0,0.8866535105013078
25.0,-101.4,15.0,0.8822202429488013
26.0,-102.3,24.0,0.8778091417340573
27.0,-105.69999999999999,58.0,0.8734200960253871
28.0,-37.60000000000005,128.0,0.8690529955452602
29.0,-108.39999999999999,85.0,0.8647077305675338
30.0,-80.60000000000002,58.0,0.8603841919146962
31.0,-100.8,9.0,0.8560822709551227
32.0,-78.70000000000002,39.0,0.851801859600347
33.0,5.100000000000026,200.0,0.8475428503023453
34.0,-101.1,12.0,0.8433051360508336
35.0,-106.19999999999999,63.0,0.8390886103705794
36.0,-38.89999999999999,141.0,0.8348931673187264
37.0,-102.5,26.0,0.8307187014821328
38.0,-105.6,57.0,0.8265651079747222
39.0,-68.00000000000003,183.0,0.8224322824348486
40.0,-113.69999999999996,138.0,0.8183201210226743
41.0,-62.29999999999997,124.0,0.8142285204175609
42.0,-101.4,15.0,0.810157377815473
43.0,-78.50000000000001,37.0,0.8061065909263957
44.0,-103.9,40.0,0.8020760579717637
45.0,-103.60000000000001,37.0,0.798065677681905
46.0,-102.5,26.0,0.7940753492934954
47.0,-103.4,35.0,0.7901049725470279
48.0,-39.00000000000007,142.0,0.7861544476842928
49.0,-106.39999999999999,65.0,0.7822236754458713
50.0,-107.39999999999999,75.0,0.778312557068642
51.0,-105.0,51.0,0.7744209942832988
52.0,-66.00000000000017,163.0,0.7705488893118823
53.0,-104.4,45.0,0.7666961448653229
54.0,-106.5,66.0,0.7628626641409962
55.0,-103.60000000000001,37.0,0.7590483508202912
56.0,-102.3,24.0,0.7552531090661897
57.0,-103.1,32.0,0.7514768435208588
58.0,-104.3,44.0,0.7477194593032545
59.0,-102.2,23.0,0.7439808620067382
60.0,-62.59999999999997,127.0,0.7402609576967045
61.0,-102.2,23.0,0.736559652908221
62.0,-101.5,16.0,0.7328768546436799
63.0,-100.9,10.0,0.7292124703704616
64.0,-107.6,77.0,0.7255664080186093
65.0,-107.99999999999999,81.0,0.7219385759785162
66.0,-101.4,15.0,0.7183288830986236
67.0,-101.5,16.0,0.7147372386831305
68.0,-107.39999999999999,75.0,0.7111635524897149
69.0,5.099999999999998,200.0,0.7076077347272662
70.0,-102.9,30.0,0.7040696960536299
71.0,-65.70000000000013,160.0,0.7005493475733617
72.0,-100.9,10.0,0.697046600835495
73.0,-86.00000000000006,112.0,0.6935613678313175
74.0,-102.6,27.0,0.6900935609921609
75.0,-109.99999999999999,101.0,0.6866430931872001
76.0,-101.9,20.0,0.6832098777212641
77.0,5.100000000000026,200.0,0.6797938283326578
78.0,-112.09999999999997,122.0,0.6763948591909945
79.0,-103.5,36.0,0.6730128848950395
80.0,-20.000000000000014,200.0,0.6696478204705644
81.0,5.099999999999945,200.0,0.6662995813682115
82.0,-109.19999999999999,93.0,0.6629680834613705
83.0,-104.5,46.0,0.6596532430440636
84.0,-106.39999999999999,65.0,0.6563549768288433
85.0,-101.9,20.0,0.653073201944699
86.0,-104.6,47.0,0.6498078359349755
87.0,-100.7,8.0,0.6465587967553006
88.0,-108.99999999999999,91.0,0.6433260027715241
89.0,-88.1000000000001,133.0,0.6401093727576664
90.0,-111.69999999999997,118.0,0.6369088258938781
91.0,-79.90000000000003,51.0,0.6337242817644086
92.0,-87.90000000000003,131.0,0.6305556603555866
93.0,-101.2,13.0,0.6274028820538087
94.0,-101.0,11.0,0.6242658676435396
95.0,-107.49999999999999,76.0,0.6211445383053219
96.0,-101.5,16.0,0.6180388156137953
97.0,-111.29999999999998,114.0,0.6149486215357263
98.0,-101.0,11.0,0.6118738784280476
99.0,-69.00000000000006,193.0,0.6088145090359074
100.0,-105.2,53.0,0.6057704364907278
101.0,-102.0,21.0,0.6027415843082742
102.0,-104.8,49.0,0.5997278763867329
103.0,-100.9,10.0,0.5967292370047992
104.0,-101.9,20.0,0.5937455908197752
105.0,-104.2,43.0,0.5907768628656763
106.0,-101.1,12.0,0.5878229785513479
107.0,-117.89999999999998,180.0,0.5848838636585911
108.0,-101.4,15.0,0.5819594443402982
109.0,-56.50000000000005,68.0,0.5790496471185967
110.0,-112.09999999999997,122.0,0.5761543988830038
111.0,-103.2,33.0,0.5732736268885887
112.0,-103.4,35.0,0.5704072587541458
113.0,-107.49999999999999,76.0,0.567555222460375
114.0,-106.8,69.0,0.5647174463480732
115.0,-86.40000000000006,116.0,0.5618938591163328
116.0,-88.60000000000004,138.0,0.5590843898207511
117.0,-100.5,6.0,0.5562889678716474
118.0,-104.3,44.0,0.5535075230322891
119.0,-81.90000000000005,71.0,0.5507399854171277
120.0,-20.000000000000014,200.0,0.547986285490042
121.0,5.100000000000039,200.0,0.5452463540625918
122.0,-93.79999999999995,190.0,0.5425201222922789
123.0,-86.50000000000009,117.0,0.5398075216808175
124.0,-104.9,50.0,0.5371084840724134
125.0,-106.0,61.0,0.5344229416520513
126.0,-108.59999999999998,87.0,0.531750826943791
127.0,-101.4,15.0,0.5290920728090721
128.0,-102.1,22.0,0.5264466124450268
129.0,-101.9,20.0,0.5238143793828016
130.0,-106.8,69.0,0.5211953074858876
131.0,-100.5,6.0,0.5185893309484582
132.0,-109.99999999999999,101.0,0.5159963842937159
